обт_реть;обтереть;обтереть;обтиреть;
оз_рённый;озарённый;озарённый;озорённый;
оз_рять;озарять;озарять;озорять;
отд_рать;отдирать;отдирать;отдерать;
отд_решь;отдерешь;отдерешь;отдирешь;
отж_мать;отжимать;отжимать;отжемать;
отл_жить;отложить;отложить;отлажить;
отм_рать;отмирать;отмирать;отмерать;
отмереть;отмереть;отмереть;отмиреть;
отп_рать;отпирать;отпирать;отперать;
отп_реть;отпереть;отпереть;отпиреть;
отр_стить;отрастить;отрастить;отростить;
переж_мать;пережимать;пережимать;пережемать;
пл_вунец;плавунец;плавунец;пловунец;
пл_вучесть;плавучесть;плавучесть;пловучесть;
пл_вучий;плавучий;плавучий;пловучий;
пог_релица;погорелица;погорелица;погарелица;
подп_рать;подпирать;подпирать;подперать;
подп_реть;подпереть;подпереть;подпиреть;
подр_внять;подровнять;подровнять;подравнять;
подск_чить ;подскочить ;подскочить ;подскачить ;
подст_лать;подстилать;подстилать;подстелать;
подстелить;подстелить;подстелить;подстилить;
подсч_тать;подсчитать;подсчитать;подсчетать;
покл_нение;поклонение;поклонение;покланение;
покл_ниться;поклониться;поклониться;покланиться;
попл_вок;поплавок;поплавок;попловок;
пор_вняться;поравняться;поравняться;поровняться;
пор_сль;поросль;поросль;порасль;
предл_гать;предлагать;предлагать;предлогать;
предложить;предложить;предложить;предлажить;
приж_гать;прижигать;прижигать;прижегать;
приж_гать;прижигать;прижигать;прижегать;
прик_сновение;прикосновение;прикосновение;прикасновение;
прил_гательное;прилагательное;прилагательное;прилогательное;
прил_жение;приложение;приложение;прилажение;
присл_ниться;прислониться;прислониться;присланиться;
прокл_нать;проклинать;проклинать;прокленать;
пром_кательная;промокательная;промокательная;промакательная;
проск_кал;проскакал;проскакал;проскокал;
проск_чил;проскочил;проскочил;проскачил;
р_вноправие ;равноправие ;равноправие ;ровноправие ;
разб_рать;разбирать;разбирать;разберать;
разж_гал;разжигал;разжигал;разжегал;
расст_лать;расстилать;расстилать;расстелать;
расст_лить;расстелить;расстелить;расстилить;
раст_рать;растирать;растирать;растерать;
раст_реть;растереть;растереть;растиреть;
сж_гать;сжигать;сжигать;сжегать;
ск_калка;скакалка;скакалка;скокалка;
ск_кать ;скакать ;скакать ;скокать ;
скл_нение;склонение;склонение;скланение;
сосч_тать;сосчитать;сосчитать;сосчетать;
сотв_рить ;сотворить ;сотворить ;сотварить ;
спл_влять ;сплавлять ;сплавлять ;спловлять ;
ср_внять;сравнять;сравнять;сровнять;
ст_лить;стелить;стелить;стилить;
ст_рать;стирать;стирать;стерать;
ст_реть;стереть;стереть;стиреть;
тв_рец ;творец ;творец ;тварец ;
тв_рить;творить;творить;тварить;
уб_рать;убирать;убирать;уберать;
уб_ру;уберу;уберу;убиру;
уг_реть;угореть;угореть;угареть;
уд_рать;удирать;удирать;удерать;
уд_ру;удеру;удеру;удиру;
ум_рать;умирать;умирать;умерать;
ум_реть;умереть;умереть;умиреть;
уп_раться;упираться;упираться;уператься;
уп_реться;упереться;упереться;упиреться;
упом_нание;упоминание;упоминание;упоменание;
ур_внение;уравнение;уравнение;уровнение;
утв_рь;утварь;утварь;утворь;
выг_рки;выгарки;выгарки;выгорки;
выр_сток;выросток;выросток;вырасток;
з_ревать;зоревать;зоревать;заревать;
з_ревой;зоревой;зоревой;заревой;
изг_рь ;изгарь ;изгарь ;изгорь ;
на выр_ст;на вырост;на вырост;на выраст;
отр_сль;отрасль;отрасль;отросль;
пл_вец;пловец;пловец;плавец;
пл_вун;плывун;плывун;плавун;
пл_вчиха ;пловчиха ;пловчиха ;плавчиха ;
подр_стковый;подростковый;подростковый;подрастковый;
пол_г;полог;полог;полаг;
пор_вну;поровну;поровну;поравну;
приг_рь;пригарь;пригарь;пригорь;
р_весник;ровесник;ровесник;равесник;
р_внина;равнина;равнина;ровнина;
Р_стислав;Ростислав;Ростислав;Растислав;
р_стовщик;ростовщик;ростовщик;растовщик;
р_сток;росток;росток;расток;
Ростов-на-Дону;Р_стов-на-Дону;Ростов-на-Дону;Растов-на-Дону;
ск_чите;скачите;скачите;скочите;
ск_чок;скачок;скачок;скочок;
ск_чу;скачу;скачу;скочу;
словосоч_тание;словосочетание;словосочетание;словосочитание;
соч_тание;сочетание;сочетание;сочитание;
соч_тать;сочетать;сочетать;сочитать;
ур_вень;уровень;уровень;уравень;
ч_та;чета;чета;чита;
